id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,length,width,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids,brand,grouped_products,,,,,
1,simple,hmh00001,Teaming with Microbes,1,0,visible,,"<b>A Gardener's Guide to the Soil Food Web</b><br>  by Jeff Lowenfels and Wayne Lewis  <br><br>  <b>Should be required reading for all serious gardeners.</b>  <br><br>  Smart gardeners know that soil is anything but an inert substance. Healthy soil is teeming with life not just earthworms and insects, but a staggering multitude of bacteria, fungi, and other microorganisms. When we use chemical fertilizers, we injure the microbial life that sustains healthy plants, and thus become increasingly dependent on an arsenal of artificial substances, many of them toxic to humans as well as other forms of life. But there is an alternative to this vicious circle: to garden in a way that strengthens, rather than destroys, the soil food web the complex world of soil-dwelling organisms whose interactions create a nurturing environment for plants. By eschewing jargon and overly technical language, the authors make the benefits of cultivating the soil food web available to a wide audience, from devotees of organic gardening techniques to weekend gardeners who simply want to grow healthy, vigorous plants without resorting to chemicals.",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,24.95,,Books,,domestic,,,,,teaming_with_microbes.jpg,,,,,,,,,,,,,,,
2,simple,hmh00002,Just Right Xtra All Organic Potting Mix,1,0,visible,,"When the concept of mixing a product for our industry came into focus- we decided not to utilize peat moss because we did not want sphagnum impurities. Nor did we want inconstant results. - We were wary of our clients having to risk their crop growth performance due to widely ranging nutrient ratios in their soil mixes. Nor did we want our clients to experience any increase in the potential risk of dormant pests becoming active. Just Right Xtra was developed micro-bio-logically.  <br><br>  Through extensive microscopic exploration and the development of micro and macro porosity; which is conducive to healthy beneficial bacteria, and fungi; Just Right ensures the delivery of available nutrition to your plants. We've gone well beyond the basic delivery of the traditionally, considered, essential, 19 major, minor, and micro elements found in most plant nutrient regimes. We deliver you biodiversity and consider the importance of the 10s of thousands of biological species that our found naturally in pristine soil ecologies. Health-fully, functioning, soils have sponsor a symbiotic relationship with their photosynthesizing or solar energy gathering green plant partners; which are anchored by living roots in their respective, rhizospheres. Together they harmonize and become one in a tonic balance with Nature. It's important to get it Just Right! Our pitch fork is your tuning fork!  <br><br>  Now--here is the real truth about gardening with our microbial-ly diverse, sustainable, Just Right Xtra soil mix.  <br><br>  <b>""Bags of Biology™""</b>  <br><br>  <ul>  <li>1st -we use a Cocotek coconut coir, high quality, low sodium, media. This coir is the backbone to our more diverse and less compacted mix, allowing textural uniformity. Allowing Just Right to tailor make finer or coarser, fiber consistencies. This composite mix consists of millions of capillary micro-sponges per unit volume, that absorbs up to eight times the mixes oven dried weight in water. Our mix has a natural affinity to hold a 3 : 7 air to water stoichiometric ratio. Which assures you that Just Right will hold plant nutrition naturally until the microporosity releases oxygenated nutrient solution over extended periods allowing reduced watering frequency.</li>  <li>2nd we add Ancient Biology from Ancient Forest Alaskan Humus which is an ultra-pure, ultra-organic ""compilation"" resulting from a very gradual collaboration between Mother Nature and Father Time. The unique and highly prized, Alaska Humus is the byproduct of patients and good fortune, resulting from nearly 10,000 years of post ice-age, real-time, decomposition performed by the life processes of vast numbers and species of microbes throughout Alaska's annual cycles of long, dark winters and extremely daylight-intensive summers. Because of its incredible microbiological diversity (an estimated 35,000 species of bacteria and 5000 species of fungi) -- unlike manufactured commercial compost -there is a guaranteed absence of any human pathogens, synthetic chemical impurities from foreign residues.</li>  <li>3rd Our Earth worm castings from Cali are Vegan,. These are the best quality castings we have ever seen.</li>  <li>4th Diatomite (Diatomaceous Earth or ""DE"") is a sedimentary rock primarily composed of the fossilized remains of unicellular fresh water microbes known as Diatoms. Sedimentary stratification over the millennia has compressed the remnants of these diatoms. This aggregation creates one of the most effective growing media components, available. Diatomite consists of approximately 86% silica, 3% magnesium and 2% iron., with the remainder of its contents being mineral compounds; which are complementary to plant growth. All of these unique factors make Diatomite the definitive horticultural grade growing medium. High Silica Content - In nature, Silica is conducive to healthy plant and root development. Because Diatomite is 86% silica, your plants will receive a continual slow release of silica, assisting with the growth of healthier, more robust plants. Absorbency & Porosity - Diatomite is naturally very porous, and can hold 150% of its weight in water. The Silica Content, natural Absorbency, and Porous qualities result in a slow release of water and nutrients to your plants, contributing to higher yields and less watering frequency. Capillary Action & Lateral movement - The porosity of the Diatomite contributes to its ability to wick water. Diatomite causes water and its dissolved nutrients to move laterally throughout the medium, making Diatomite ideal for hydroponics. The media achieves an excellent air to water ratio in the pot. Proper aeration is a particularly important quality which helps gardeners avoid root rot. Silica stone can be used as",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,15.95,,Books,,domestic,,,,,just_right_xtra.jpg,,,,,,,,,,,,,,,
3,simple,hmh00003,Gardening Indoors with Soil & Hydroponics,1,0,visible,,"<b>from George Van Patten</b>  <br><br>  More than 670 full-color photos, drawings, charts and graphs illustrate every detail of this authoritative easy-to-understand book. Numerous simple cultivation solutions make it appealing to novice gardeners. Seasoned gardeners are also able to fi nd answers to all their questions. Discover how to achieve the biggest best yields.  <br><br>  ""For over twenty years, Gardening Indoors has been considered ‘The Bible’ of indoor growing. It is literally a one stop gardening encyclopedia of information for both the beginner to the very experienced gardener. If I were to buy only one book on indoor gardening, this would be the one.""  <br>  - Tom Alexander Growing Edge magazine",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,24.95,,Books,,domestic,,,,,gardening_indoors2.jpg,,,,,,,,,,,,,,,
4,simple,hmh00004,Grubbycup's Simple Hydroponics,1,0,visible,,"Potential hydroponic gardeners can easily become overwhelmed by the complex processes involved with soilless cultivation. Understanding the basics prior to venturing into advanced gardening manuals can help prevent frustration and confusion. An informed gardener is more likely to succeed, and a successful gardener is more likely to continue to garden.  <br><br>  Written by international gardening author Grubbycup Stash, Grubbycup's Simple Hydroponics is a starter primer on hydroponic growing. The booklet is motivating and interesting, filled with informative pictures and easy to read text.  <br><br>  Written in conversational English, Grubbycup breaks down hydroponic concepts, and simplifies the technical information. This book quickly delivers information to the reader without talking down to them. Forty beautiful color pages illustrate concepts including artificial lighting, media choices, and basic nutrition.  <br><br>  Grubbycup is obviously passionate about gardening, and helping gardeners improve. This booklet is informative enough to understand the differences between the most common types of hydroponic methods without being overwhelming.  <br><br>  Grubbycup's Simple Hydroponics also outlines more advanced hydro systems, but the main thrust is for the beginner, the person a little hesitant to take that leap of faith and try hydroponic gardening.  <br><br>  The booklet also touches on environments, lighting, growing mediums, humidity, and temperature, it is a book even the most beginning gardener can follow. Grubbycup's Simple Hydroponics is available at hydroponic stores and online sites.",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,8.95,,Books,,domestic,,,,,gcup.jpg,,,,,,,,,,,,,,,
5,simple,hmh00005,Gardening Indoors with CO2,1,0,visible,,"By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 96 pages, illustrated, index)  <br><br>  This is the book to have if you've ever wondered about unlocking your plant's maximum potential with Carbon Dioxide. If you're not familiar with it, here's the basic rundown on it. There is about 300 PPM's (Parts Per Millionth) of Carbon Dioxide in the regular air we breathe day to day. If you add 3 to 5 times the CO2 to the controlled environment in an indoor garden, (around 900-1200 ppm's), most plants will benefit greatly. Greenhouses worldwide report 30-40% better yields from fruit and vegetable crops by increasing the CO2 levels. It's the reason talking to plants is so good for them, we exhale Carbon Dioxide. There are many ways to introduce it into your growroom, and there are things to know to get the most for your gas. It can be quickly wasted if your room is leaky, have inadequate ventilation, or add CO2 at the wrong times. That's why this book was written, to help guide you quickly and easily through the info. you'll need to save you time and money, and maximize your plant growth.",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,14.95,,Books,,domestic,,,,,thumb_books_gardening_indoors_co2.gif,,,,,,,,,,,,,,,
6,simple,hmh00006,Gardening Indoors with Cuttings,1,0,visible,,"By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 96 pages, illustrated, index)  <br><br>  Cuttings are the fastest , most efficient way of reproducing a plant. By following a few easy steps you can enjoy many generations of a favorite plant. Included in the book is everything you'll need to know. How to control the environment for the cuttings, how to avoid diseases, choosing the right hormones and solutions, and even how to build a misting chamber. You can achieve 100% success rates, don't settle for less. Propagating plants can be very very inexpensive, only pennies per cutting. You will need to know the basics though. This book is for everyone, and is written in an easy to read way anyone can understand. Written to save you time and money.",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,14.95,,Books,,domestic,,,,,thumb_books_gardening_indoors_cuttings.gif,,,,,,,,,,,,,,,
7,simple,hmh00007,Gardening Indoors with H.I.D. LIGHTS,1,0,visible,,"By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 128 pages, illustrated, index)  <br><br>  H.I.D. (High Intensity Discharge) lighting makes indoor gardening possible. Metal Halide and High Pressure Sodium lighting systems are designed to replicate sunlight for use by plants. Tens of thousands of people have already discovered the enhanced benefits of artificial lighting. Gardening Indoors with HID Lights is the only book of it's kind for learning all you'll need to know to put these lights to work for you. Inside this book you'll find info. on:  <ul>  <li>Getting the most from your light system....</li>  <li>Choosing the right light for your plants....</li>  <li>Understanding how it all works....</li>  <li>Troubleshooting....</li>  <li>A study, with a light graph analysis, of light systems being sold.</li>  <li>Specifications on H.I.D. lamps.....</li>  </ul>  Whether you're a beginner, novice, or expert, there's something in this book for you. This book was also edited by garden experts from around the world, helping make a great book even better. Order your copy today!!",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,14.95,,Books,,domestic,,,,,thumb_books_gardening_indoors_hid.gif,,,,,,,,,,,,,,,
8,simple,hmh00008,Hydroponic Basics,1,0,visible,,"<b>by George Van Patten<b>  <br><br>  This new pocket size book is packed full of information, Plants Sciences, nutrient management, lighting applications, organic gardening, and a must for any avid or beginner gardener.",,,taxable,standard,1,notify,1,0.5,0,0,0,0,Thanks you for your order!,,5.49,,Books,,domestic,,,,,hydroponic_basics.jpg,,,,,,,,,,,,,,,
9,simple,hmh00009,Gardening Indoors with Rockwool,1,0,visible,,"<b>By George F. Van Patten and Alyssa F. Bust</b><br>  (5.5"" x 8.5"", 128 pages, illustrated, index)<br><br>  If you haven't heard about rockwool, it's a very popular growing medium that is ideal for use in hydroponic systems, or as a general growing medium you could use for a potted plant. It's sterile, inert, porous, and can't be overwatered when good drainage exists. Most of Europe's fruit and vegetable crops are grown in rockwool, and it's used by commercial and hobby growers worldwide.  <br><br>  Included in the book are step by step instuctions on:  <ul>  <li>Learning to achieve 20-50% higher yields  <li>Setting up and maintaining a rockwool garden  <li>Choosing the right garden to meet your specific needs  <li>The latest tools to make using rockwool even easier  <li>Picking the right nutrients to feed your plants  <li>How to grow the absolute biggest flowers using rockwool  </ul>  <br><br>  This is the one-stop hobby resource guide for using rockwool. Start getting your taste of the the good life!  <br><br>  Whether you're a beginner, novice, or expert, there's something in this book for you. This book was also edited by garden experts from around the world, helping make a great book even better.  Order your copy today!!",,,taxable,standard,1,notify,1,1,0,0,0,0,Thanks you for your order!,,14.95,,Books,,domestic,,,,,thumb_books_gardening_indoors_rockwool.gif,,,,,,,,,,,,,,,
10,grouped,hmh00010,FloraBlend,1,0,visible,,"We take a diverse mixture of highly bioactive microorganisms and feed them a feast of select food sources in a hyper oxygenated environment. These beneficial microorganisms multiply consuming these food sources and through bioconversion processes new organic compounds are formed. These highly soluble organic compounds increase and promote healthy root structures, build the plants immune system and provide carbon building blocks for plant processes responsible for color and flavor of fruits and vegetables.    <ul>  <li>FloraBlend is a vegan product and contains no animal derived ingredients.  <li>FloraBlend is a completely digested ferment, which translates into a very stable product and long or indefinite shelf life.  <li>FloraBlend is very clean product that can be utilized in all hydroponic systems.  <li>FloraBlend is a compost tea that is fermented from a proprietary blend of plant materials, plus seaweed, rock powders and micronized leonardite.  </ul>",,,taxable,standard,1,notify,1,0,12,12,12,0,Thanks you for your order!,,12,,Nutrients & Supplements > General Hydroponics > General Hydroponics,,domestic,,,,,florablend.jpg,,,,,,,,,General Hydroponics,"id:11,id:12,id:13,id:14",,,,,
